start	end	text
332200	336200	Ce qu'on va faire ensuite, c'est qu'on va construire un blog thématisé sur notre boutique.
336200	339200	C'est important sur notre shop qu'on ne soit pas juste là pour vendre des produits.
339200	344200	On va également apporter de la valeur aux gens en leur rédigeant des articles de blog qui seront optimisés selon des mots clés qui seront recherchés.
344200	346200	Encore une fois, on va pas faire des articles de blog dans le vent.
346200	351200	Ces articles de blog, ils vont générer des ventes puisqu'on va attirer des visiteurs sur le site.
351200	355200	Certains vont se dire, ça répond à ma question, mais en même temps là je suis sur un site thématisé, il y a des produits qui m'intéressent.
355200	357200	Il y a des produits qui m'intéressent, je vais aller voir.
357200	358200	Ça, ça va générer des ventes.
358200	363200	Ça va également générer des emails puisqu'on va installer ce que j'appelle une pompe à mail sur la partie du blog.
363200	364200	Donc une pompe à mail, c'est quoi ?
364200	371200	C'est par exemple un pop-up qui va arriver, qui va dire à ton client, laisse moi ton email, tu vas avoir 5% de réduction, 10%, un produit gratuit ou quoi que ce soit.
371200	375200	Donc ces emails, on va les récupérer et on va pouvoir générer de l'argent à partir de ces emails.
375200	376200	C'est encore une autre source de trafic.
376200	384200	Et troisièmement, ce blog va générer aussi du trafic qui va venir du blog et ça va booster le SEO on-site et le SEO global de la boutique.
384200	389200	Ensuite, on va passer du coup au deuxième gros pilier du SEO, c'est la partie off-site.
389200	391200	Donc en gros, la partie off-site du SEO.
391200	394200	Je reviendrai encore une fois en détail dans le module qui sera déjé au SEO off-site.
394200	400200	Mais c'est toutes les techniques qu'on va mettre en place à l'extérieur du site pour donner un peu du jus, ce qu'on appelle du jus SEO.
400200	407200	C'est de la puissance SEO au site sans SEO off-site, même avec du bon SEO on-site, tu n'auras jamais des résultats qui seront intéressants.
407200	414200	Il faut vraiment mélanger les deux, donc trouver des bons mots-clés sur la partie on-site et faire ce qu'on appelle des backlinks pour la partie off-site notamment.
414200	417200	Les backlinks, c'est des liens externes vers ton site.
417200	418200	Par exemple, toi, tu es un site pour chien.
418200	421200	Tu vas aller voir par exemple un autre site qui vend des produits pour chien.
421200	425200	Tu vas lui demander de faire un lien sur son site qui redirige vers le chien.
425200	426200	C'est ce qu'on appelle un backlinks.
426200	429200	C'est reconnu par Google et ça apporte de la puissance.
429200	436200	Le SEO off-site, s'il est bien fait sur des sites qui sont intéressants, il va te rapporter du trafic et donc il va booster la partie SEO globale.
436200	439200	Et il va ramener également donc ce que j'appelle du jus SEO.
439200	445200	C'est de la puissance et ça va venir booster un petit peu toutes tes URL en top résultats des recherches sur Google.
445200	449200	Une autre chose qu'on va mettre en place qui est hyper hyper importante, c'est la partie affiliation.
449200	458200	Donc pour générer des ventes de façon passive sans non plus dépenser des milliers d'euros en publicité, l'affiliation c'est une très bonne alternative et c'est ce que je mets en place sur toutes mes boutiques.
458200	463200	L'idée c'est d'aller contacter des marchands qui vendent des produits similaires au chien en affiliation avec Amazon notamment.
463200	466200	Mais pas forcément, on peut le faire également avec des blogueurs ou quoi que ce soit.
466200	468200	Mais tout ça, de toute façon, je reviendrai dans le module DJ.
468200	477200	Mais l'idée de base, en gros, c'est d'aller contacter des personnes qui font de l'affiliation et de leur proposer de mettre en avant tes produits sur leur site ou leurs réseaux sociaux pour les influenceurs, blogueurs, etc.
477200	481200	Donc tout ça, je ne vais pas le présenter pendant des heures ici puisqu'il y a un module DJ.
481200	488200	Mais c'est un élément qui est hyper important qui va générer donc des ventes en affiliation, mais également du trafic qui va encore une fois booster le SEO de la boutique.
488200	494200	Et enfin dernièrement, super important, on va venir recibler les personnes qui ont visité notre site mais qui n'ont pas fait d'achat.
494200	496200	Donc c'est ce qu'on appelle le retargeting.
496200	498200	On va le faire avec Facebook Ads et Instagram.
498200	502200	Alors là, tu es en train de te dire, en général, je crache un peu sur Facebook Ads et Instagram.
502200	505200	Alors oui, je crache dessus pour l'acquisition de clients.
505200	508200	D'accord ? Je ne vais jamais chercher des nouveaux clients sur Facebook Ads et Instagram.
508200	519200	Par contre, j'utilise Facebook Ads et Instagram pour aller recibler des personnes qui sont allées sur mon site sans faire d'achat via les campagnes Google Ads, via le SEO, via le blog, via l'affiliation, etc.
519200	523200	Ces personnes-là, ce sont des personnes qui sont chaudes, qui ont exprimé une intention de recherche via Google.
523200	530200	Et eux, s'ils n'ont pas fait d'achat, je vais aller les recibler avec des campagnes publicitaires en leur proposant des codes promo, par exemple, pour terminer leur panier.
530200	533200	Enfin, plein de petites techniques que je te présenterai dans ce module-ci.
533200	536200	Et donc ça, ça va générer du trafic, encore une fois, et des ventes.
536200	538200	Donc voilà, ça c'est l'écosystème global.
538200	544200	A tout ça, on va ajouter par-dessus des petites techniques, des petits hacks que je vais te présenter également dans le module qui sera des géo hacks par rapport aux conversions.
544200	551200	Et à la fin, une fois que tu as automatisé toutes les tâches qui ont besoin d'un humain et que tu as automatisé toutes les campagnes de pub avec l'IA, avec les campagnes intelligentes,
551200	558200	tu vas te retrouver avec une muse qui est entièrement automatisée et qui génère de l'argent de façon quasi passive.
558200	564200	Donc les modules de la formation, je vais les reprendre rapidement, mais grosso modo, c'est tous les points que je viens de te présenter ici sur le petit schéma de la muse.
564200	566200	Premièrement, donc la recherche de niche.
566200	569200	Ensuite, on va passer au SEO on-site.
569200	574200	Ensuite, on va avoir un gros module sur tout ce qui va être graphisme, identité de la marque.
574200	575200	Ça, c'est hyper important.
575200	576200	D'ailleurs, je m'arrête là, on va d'aller plus loin.
576200	578200	Les modules sont à suivre étape par étape.
578200	579200	Donc c'est déjà trié.
579200	584200	Il ne faut pas forcément que tu commences par le module 6, SEO off-site, ensuite le blog, ensuite SEO on-site.
584200	586200	Je t'invite vraiment à suivre la formation.
586200	589200	Déjà, regarde-la une fois sans rien faire, juste en prenant quelques notes, etc.
589200	592200	Et ensuite, regarde-la une deuxième fois en appliquant.
592200	595200	Et tu peux faire du coup tout de A à Z, en suivant module par module.
595200	599200	Tu auras à chaque fois un récapitulatif de ce que tu dois mettre en place en dessous de la vidéo.
599200	602200	Je ne te mettrai un encadré avec ce que tu dois faire tiré de la vidéo que tu viendras de regarder.
602200	605200	Et tu as juste finalement à te laisser guider par les modules.
605200	609200	Et tu peux vraiment réfléchir ça de façon logique pour que tu n'aies pas besoin d'alterner entre un module et un autre.
609200	611200	Tu peux tout suivre de A à Z.
611200	614200	Donc troisièmement, les graphismes, l'identité de la marque, le branding.
614200	617200	Ensuite, on va passer au blog avec un gros module sur le blog.
617200	620200	Comment trouver des requêtes, comment rédiger rapidement du contenu.
620200	622200	Parce que l'idée, ce n'est pas de passer des journées à rédiger du blog.
622200	625200	Mais tu verras, j'ai des techniques pour aller assez rapidement.
625200	627200	Ensuite, l'email marketing que j'ai écrit ici.
627200	630200	Il faut que je change dans la slide en mettant email.
630200	632200	Mais c'est bien email marketing.
632200	633200	Super important.
633200	636200	Sixièmement, on verra toute la partie SEO offsite.
636200	638200	Ensuite, on verra la partie Google Ads.
638200	641200	Ensuite, on passera au branding et aux réseaux sociaux.
641200	643200	Notamment avec le retargeting qui viendra juste après.
643200	645200	Et à la fin, on aura tous les bonus.
645200	649200	Donc les bonus, c'est par exemple des contenus de mise à jour que je mettrai par la suite.
649200	652200	Ça va être des lives, ça va être des petits hacks, etc.
652200	654200	Que je vais te rajouter au fur et à mesure de la formation.
654200	657200	Et ce n'est pas impossible que dans le temps, je fasse intervenir de nouveaux intervenants.
657200	660200	Des personnes avec qui je travaille, des personnes avec qui je suis associé.
660200	663200	Si je juge que ce qu'elles ont apporté, c'est intéressant pour la formation.
663200	665200	Même si c'est complémentaire à la stratégie.
665200	668200	Je les ferai intervenir dans des modules DJ, dans des modules bonus.
668200	673200	L'objectif final à la fin de la formation, c'est que tu aies une boutique qui soit long terme.
673200	676200	C'est que tu aies quelque chose qui soit délégable entre guillemets à 100%.
676200	679200	Que ça génère du cash flow positif durant toute l'année.
679200	681200	Pas seulement pendant une période, mais bien pendant toute l'année.
681200	683200	Pour ça, on va trouver des niches qui seront adaptées.
683200	688200	Et que tu puisses cumuler plusieurs muses pour scaler horizontalement et pas verticalement.
688200	691200	Quelle est la différence entre scaler horizontalement et verticalement ?
691200	693200	Si tu veux, les méthodes qui étaient un petit peu à l'ancienne.
693200	698200	On te disait de prendre un produit gagnant et de faire une publicité sur Facebook avec influenceurs.
698200	702200	L'idée pour générer plus d'argent avec ces boutiques là, c'est de scaler verticalement.
702200	710200	Donc en gros, l'idée, c'est de garder le même business, la même boutique, mais essayer de faire monter les ventes en mettant toujours plus de budget, en trouvant plus d'influenceurs, etc.
710200	713200	Mais on scale verticalement sur la même boutique.
713200	719200	Le scaling horizontal, ça consiste à avoir du coup une muse et on va aller en dupliquer une autre, encore une autre, encore une autre.
719200	723200	Et on va finalement cumuler plusieurs petits entre guillemets business.
723200	725200	Et c'est ce que j'appelle un scaling horizontal.
725200	729200	Et je trouve ça beaucoup plus intelligent que de scaler verticalement et de faire la course au volume en termes de vente.
729200	734200	Alors les points faibles de la stratégie, parce que je me dois être honnête et de parler des points forts comme des points faibles.
734200	736200	Les points faibles pour moi, il y en a deux principaux.
736200	742200	Le premier, c'est que c'est difficile de sourcer toute la boutique avec un agent car on va mettre beaucoup de produits.
742200	745200	Donc ça, ça implique généralement de travailler avec Aliexpress majoritairement.
745200	747200	Donc il y a beaucoup de personnes qui veulent des alternatives.
747200	749200	Alors moi, je te le dis sur toutes mes muses.
749200	753200	Et donc depuis 2018, j'ai quand même généré plusieurs millions d'euros de vente et de chiffre d'affaires.
753200	755200	J'ai toujours bossé avec Aliexpress.
755200	758200	Donc crois moi, Aliexpress, c'est en aucun cas un frein.
758200	762200	C'est sûr que c'est pas le meilleur fournisseur si on compare avec des artisans français ni quoi que ce soit.
762200	763200	Bien évidemment, il faut être honnête.
763200	764200	Maintenant, c'est efficace.
764200	765200	Les produits sont pas chers.
765200	770200	T'as un catalogue qui est ultra varié et il livre en 7 à 15 jours ouvrés.
770200	772200	Donc c'est pas non plus quelque chose qui est arradgé.
772200	774200	Moi, sur mes boutiques, c'est full Aliexpress.
774200	778200	Alors bien évidemment, sur les produits qu'on appelle best-sellers, ceux qui sont vendus à 80%,
778200	781200	c'est possible de les sourcer hors d'Aliexpress par un agent.
781200	784200	Mais tout ça, j'y reviendrai dans la fin de l'information parce que c'est pas ce qui est important quand on débute.
784200	787200	Mais je t'en parle rapidement pour t'introduire le sujet.
787200	792200	Tu peux travailler avec 80% de ta boutique Aliexpress et 20% des best-sellers avec un agent.
792200	794200	Moi, personnellement, c'est pas ce que j'ai fait.
794200	798200	Si tu veux, moi, sur mes best-sellers, j'ai mis en place des partenariats entre guillemets avec mes fournisseurs Aliexpress
798200	800200	qui me personnalisent mes packaging.
800200	801200	Mais ça reste sur Aliexpress.
801200	807200	Il me génère des liens spéciaux uniquement pour ma boutique que j'ai pu lier avec une API sur ma boutique Shopify.
807200	811200	Vraiment, je te parle de ça, mais c'est du détail qu'on verra vraiment dans les bonus pour aller plus loin
811200	812200	parce que c'est pas vraiment ce qui est obligatoire au début.
812200	814200	Mais c'est des choses qui sont possibles de faire.
814200	818200	Mais tout ça pour dire qu'un des principaux points faibles de la stratégie, c'est que tu vas pas pouvoir sourcer,
818200	823200	comme quand tu fais avec un monoproduit, un produit chez un agent, faire un stock chez lui et les envoyer en deux jours.
823200	829200	Avec la stratégie de muse, tu vas avoir 500, 600, 800, peut-être voire 1000 produits, voire plus, selon les thématiques.
829200	833200	Et tu te doutes bien que quand tu as autant de produits, tu peux pas les sourcer un par un chez un agent spécifique.
833200	836200	Tu vas devoir travailler avec Aliexpress en flux tendu.
836200	842200	Et le deuxième point faible, en tout cas pour moi, c'est que le potentiel de scaling est plus faible qu'avec du monoproduit en one-shop.
842200	848200	C'est-à-dire que moi, sur mes muse personnels, j'arrive à générer en moyenne entre 500 à 2000 euros par jour de CA par boutique
848200	850200	quand je mets en place la stratégie de DropPedit en entier.
850200	855200	Alors que les personnes, par exemple, qui vont faire du monoproduit avec des influenceurs ou avec du Facebook Ads ou autre,
855200	859200	c'est possible parfois de faire 10 000 euros par jour, 20 000 euros par jour sur une grosse promotion.
859200	865200	Moi, en mettant en place du SEO, du Google Ads, de l'affiliation, du retargeting, etc., j'arrive à monter à des journées.
865200	870200	Des fois, à Noël, c'est un peu plus que 2 000 euros par jour, mais en moyenne à l'année, c'est entre 500 à 2 000 euros par jour.
870200	875200	Et l'idée, du coup, c'est d'aller scaler horizontalement ces ventes-là avec plusieurs boutiques.
875200	880200	Si tu arrives, admettons, à créer 5 muse différentes qui génèrent 1 000 euros par jour, tu arrives à générer 5 000 euros par jour.
880200	884200	Et par mois, ça va te donner 150 000 euros de chiffre d'affaires, ce qui est loin d'être dégueulasse.
884200	888200	Donc moi, en tout cas, je trouve ça plus simple avec cette stratégie-là de scaler horizontalement
888200	889200	que verticalement.
889200	893200	Mais maintenant, il faut bien le savoir qu'avec ces boutiques-là, tu ne vas pas faire du jour au lendemain
893200	895200	20 000 euros de chiffre d'affaires sur une boutique.
895200	898200	Tu vas faire entre 500 à 2 000 euros par jour.
898200	899200	Ça dépend encore une fois de ce que tu vends.
899200	903200	Si tu es sur du high ticket, des produits chers, donc tu vas être un petit peu plus haut.
903200	908200	Si tu vends des produits vraiment pas chers, à 15, 20, 30 euros, tu vas être plutôt sur 500 à 1 000 euros par jour.
908200	912200	Et après, pour aller chercher vraiment du volume de vente, il va falloir créer d'autres muse Shopify.
912200	918200	Les points forts maintenant, en revanche, c'est ce qui est le plus important, c'est que premièrement, tu vas avoir des résultats à coup sûr rapidement.
918200	920200	Pourquoi je dis des résultats à coup sûr rapidement ?
920200	922200	C'est parce qu'on ne va pas avoir le testing Facebook à faire.
922200	924200	Encore une fois, je fais le parallèle avec les monoproduits sur Facebook Ads, etc.
924200	928200	Il fallait à chaque fois faire un sourcing de produits potentiellement gagnants entre guillemets
928200	932200	et faire des testings en dépensant des centaines d'euros par produit en testing sur Facebook.
932200	933200	Nous, ce n'est pas ça qu'on va faire.
933200	935200	Notre stratégie, elle est basée sur l'intention de recherche.
935200	940200	Donc, on va vendre directement à des gens ce qu'ils ont exprimé comme intention de rechercher via Google.
940200	941200	Donc, on est sûr de ne pas se tromper.
941200	943200	Deuxième point fort, c'est l'aspect long terme.
943200	946200	Encore une fois, on ne va pas vendre un produit gagnant qui va être tendance pendant un mois.
946200	949200	On va vendre des produits qui sont recherchés toute l'année par les gens.
949200	952200	Admettons que tu décides de faire une boutique sur les bijoux malins,
952200	958200	ça va être des termes de recherche qui vont être recherchés cette année, l'année prochaine, dans 2 ans, dans 5 ans, dans 10 ans.
958200	961200	Ce sont des recherches qui sont tout le temps tapées sur Google.
961200	965200	Donc, si tu fais une boutique là-dessus, tu ne vas pas avoir des ventes pendant un mois et après, ce sera fini.
965200	967200	Tu vas avoir une boutique qui sera vraiment long terme.
967200	971200	Et enfin, dernier point, l'un des plus importants, c'est le fait que tu vas être intouchable par la concurrence.
971200	972200	Pourquoi ?
972200	977200	Tout simplement parce que, contrairement aux boutiques, encore une fois, qui sont un petit peu fragiles avec Facebook Ads en monoproduit,
977200	981200	tu te doutes bien que pour un concurrent, c'est assez décourageant de pouvoir faire un shop
981200	984200	sur lequel il y a déjà un ou plusieurs concurrents qui ont plus de 1000 produits,
984200	988200	qui ont des dizaines de backlinks, voire des centaines, qui ont des milliers de trafics mensuels.
988200	993200	Enfin, c'est beaucoup plus décourageant que de juste recopier une boutique monoproduit Facebook Ads en ajoutant un produit
993200	995200	et la boutique va prendre une journée à construire.
995200	998200	Là, l'idée ici, c'est de construire des vrais shops solides avec des milliers de produits,
998200	1001200	de le sécuriser avec un SEO qui va être intouchable.
1001200	1004200	Et donc, tu vas forcément faire fuir toutes les personnes qui seraient un peu mal attentionnées,
1004200	1006200	qui voudraient recopier ta boutique d'une pierre deux coups, tout simplement.
1006200	1009200	Donc voilà, on a vu tous les points importants concernant la stratégie de Drop Elite.
1009200	1012200	Je te propose qu'on enchaîne tout de suite avec la suite de la formation.
1012200	1013200	A tout de suite.
1013200	1014200	A tout de suite.
