start	end	text
101700	104920	Alors voici le schéma de la création d'une muse avec ma méthode.
105060	108220	Donc ce schéma, tu l'as peut-être déjà vu sur mes vidéos YouTube ou sur Telegram
108220	109100	ou d'autres endroits.
109540	111440	Mais je vais te le réexpliquer ici globalement.
111600	113340	L'idée, donc ça ici, ça va être nous.
113340	114900	Ça, ça va être notre muse Shopify.
115140	116160	Donc ça va être la boutique Shopify.
116900	121100	Pour commencer à travailler sur la muse, on va d'abord faire ce qu'on appelle le SEO
121100	121720	On-Site.
121860	125980	Donc le SEO, c'est toutes les techniques de référencement naturel sur Google pour avoir
125980	127020	du trafic gratuit.
127400	129640	Et le SEO est décomposé en On-Site.
129800	131760	Donc toutes les optimisations à l'intérieur du site.
132060	133940	Et la partie Off-Site qui est juste ici.
134080	134840	Je vais y revenir juste après.
135300	137760	C'est toutes les optimisations qui vont être extérieures au site.
137960	140280	Donc le SEO On-Site, la partie optimisation, c'est quoi ?
140280	144620	C'est déjà trouver une niche qui a du potentiel, une niche qui a des recherches mensuelles
144620	145060	sur Google.
145480	149520	Par exemple, on va essayer de trouver une thématique sur laquelle il y a 10 000 personnes
149520	151820	qui recherchent, admettons le mot-clé, collier pour chien.
152260	155860	Si on voit qu'il y a également 5 000 personnes qui recherchent collier pour chat, on voit
155860	158620	qu'il y a aussi 20 000 personnes qui recherchent l'e-chair pour chat.
158720	162900	Enfin bref, on va se dire, bon, la thématique des objets pour chat et chien, ça peut être
162900	163300	intéressant.
163300	166460	Je dis ça purement par hasard, mais dans la suite de la formation, je te montrerai
166460	168740	comment trouver des thématiques dans le concret.
169240	172720	Ça, ça va être la partie SEO de base, trouver une niche qui est intéressante.
173060	176380	Ensuite, on va l'optimiser, donc ce que j'appelle On-Site, c'est-à-dire ajouter
176380	180840	beaucoup de produits et un produit sur notre site va être ciblé sur un mot-clé.
181300	184060	Pareil pour les collections, je ne vais pas préciser ici, mais chaque collection va
184060	186960	être optimisée pour se référencer sur un mot-clé Google.
187320	189660	Et pareil pour notre homepage, la page principale.
189660	191200	Et finalement, pareil pour le blog.
191300	194640	En fait, chaque page sera optimisée sur un mot-clé bien précis.
194760	197740	Une fois qu'on aura fait toute la structure On-Site, donc à ce moment-là, on aura déjà
197740	201620	un site avec des produits qui seront optimisés pour le SEO de façon On-Site.
201800	206280	On va partir sur ce qu'on appelle le SEA, donc le SIN en anglais, intelligent.
206720	210420	Le SEA, qu'est-ce que c'est ? Ça ressemble au SEO, c'est en fait la partie Google Ads.
210620	215260	Donc de l'anglais, ça veut dire Search Engine Advertising, donc publicité pour advertising.
215260	220040	Et ce SEA intelligent, il va servir à une chose globalement, c'est de tester au préalable
220040	220520	la niche.
220660	224440	C'est-à-dire qu'on va envoyer du trafic sur notre boutique via le SEA intelligent, mais
224440	227920	sur des produits qui ont été optimisés au préalable sur des mots-clés qui sont recherchés
227920	228960	par les utilisateurs de Google.
229180	232800	Et on va pouvoir voir rapidement s'il y a de la traction envers notre site, envers la
232800	234860	niche et si on peut passer au reste de la méthode.
234940	238860	Maintenant, pourquoi on va faire des campagnes SEA intelligents et pas des campagnes manuelles ?
238860	241780	Parce qu'en intelligent, on va avoir des coûts par achat qui sont plus faibles.
241780	244980	En tout cas, moi, je trouve et d'expérience, je peux te le dire, les CPA sont plus faibles
244980	246400	parce que c'est 80-20.
246560	248220	Donc ça, je vais le répéter souvent en cours de la formation.
248380	250600	Moi, j'ai une philosophie qui est très 80-20.
250760	254380	Donc l'Ouap Pareto, si tu ne connais pas, c'est le fait que 80% des résultats proviennent
254380	255480	de 20% des actions.
255640	258940	Donc l'idée, c'est toujours encore une fois de ne pas être trop perfectionniste et de
258940	260680	se focaliser sur ce qui ramène des résultats.
261100	265540	Donc les campagnes SEA intelligents, ce n'est pas les campagnes qui vont être les plus optimisées
265540	268120	puisque tu ne vas pas pouvoir gérer toi-même le coup par clic, tu ne vas pas pouvoir
268120	270680	gérer exactement quel produit mettre en avant, etc.
270680	273840	C'est Google avec son intelligence artificielle qui va le faire lui-même.
274200	276900	Mais en contrepartie, ça se gère tout seul et c'est quand même très rentable.
277000	279960	Donc si tu veux, moi, je préfère gagner un petit peu moins avec une campagne qui va
279960	283520	me demander de deux heures par mois à gérer plutôt qu'avoir un petit peu plus de ventes
283520	287720	mais devoir passer cinq heures par jour à gérer mes campagnes, à gérer les coups
287720	290660	par clic, à gérer l'euroas, à gérer plein d'indicateurs.
291040	292520	Ça, c'est la philosophie 80-20.
292680	295860	Et enfin, dernièrement, dernière raison pour laquelle on va utiliser du SI intelligent,
295860	300660	c'est parce qu'on a 400 euros offerts pour 400 euros dépensés, donc pour toute ouverture
300660	301420	de compte Google Ads.
301780	303240	Ça, j'y reviendrai dans le module Google Ads.
303360	305460	Mais c'est vraiment un avantage qui est très intéressant.
305860	309040	Tu vas pouvoir te permettre de dépenser 400 euros entre guillemets dans le vent.
309140	311900	Enfin, on ne va pas dépenser dans le vent puisqu'on va s'en servir pour avoir du leverage.
312420	316240	Mais le fait de pouvoir dépenser 400 euros offerts, ça te laisse quand même assez de marge
316240	317920	pour tester un site sans te ruiner.
318040	320940	Donc les campagnes SI intelligentes, elles vont générer des ventes.
320940	322940	Et en plus de ça, elles vont ramener du trafic.
323280	326420	Et le trafic, c'est un indicateur, un CEO qui apporte de la puissance.
326540	330220	Donc ce trafic-là qui va venir des campagnes, il va booster un petit peu tout le travail
330220	332680	qu'on avait fait au préalable sur la partie SEO du site.
332800	336460	Ce qu'on va faire ensuite, c'est qu'on va construire un blog thématisé sur notre boutique.
336880	339480	C'est important sur notre shop qu'on ne soit pas juste là pour vendre des produits.
339680	342740	On va également apporter de la valeur aux gens en leur rédigeant des articles de blog
342740	345140	qui seront optimisés selon des mots-clés qui seront recherchés.
345220	346880	Encore une fois, on ne va pas faire des articles de blog dans le vent.
347360	349480	Ces articles de blog, ils vont générer des ventes
349480	351260	puisqu'on va attirer des visiteurs sur le site.
351660	353480	Certains vont se dire, ça répond à ma question.
353600	356140	Mais en même temps, là, je suis sur un site thématisé, il y a des produits qui m'intéressent.
356520	357120	Je vais aller voir.
357260	358280	Ça, ça va générer des ventes.
358580	360540	Ça va également générer des emails
360540	363580	puisqu'on va installer ce que j'appelle une pompe à mail sur la partie du blog.
363740	364660	Donc une pompe à mail, c'est quoi ?
364660	366580	C'est par exemple un pop-up qui va arriver, qui va dire à ton client
366580	371240	« Laisse-moi ton email, tu vas avoir 5% de réduction, 10%, un produit gratuit ou quoi que ce soit. »
371240	372940	Donc ces emails, on va les récupérer
372940	375180	et on va pouvoir générer de l'argent à partir de ces emails.
375300	376580	C'est encore une autre source de trafic.
376580	379340	Et troisièmement, ce blog, il va générer aussi du trafic
379340	380700	du coup qui va venir du blog
380700	383500	et ça va du coup booster le SEO on-site
383500	384980	et le SEO global de la boutique.
385060	388180	Ensuite, on va passer du coup au deuxième gros pilier du SEO.
388380	389460	C'est la partie off-site.
389620	391540	Donc en gros, la partie off-site du SEO.
392000	393740	J'y reviendrai encore une fois en détail dans le module
393740	395060	qui sera déjé au SEO off-site.
395160	396940	Mais c'est toutes les techniques qu'on va mettre en place
396940	399200	à l'extérieur du site pour donner un peu du jus,
399240	400380	ce qu'on appelle du jus SEO.
400540	402420	C'est de la puissance SEO au site.
402780	405580	Sans SEO off-site, même avec du bon SEO on-site,
405580	407580	tu n'auras jamais des résultats qui seront intéressants.
407860	409080	Il faut vraiment mélanger les deux.
409480	411780	Donc trouver des bons mots-clés sur la partie on-site
411780	413580	et faire ce qu'on appelle des backlinks
413580	415120	pour la partie off-site notamment.
415300	417620	Les backlinks, c'est des liens externes vers ton site.
417780	419160	Par exemple, toi, tu es un site pour chien.
419520	421260	Tu vas aller voir par exemple un autre site
421260	422280	qui vend des produits pour chien.
422340	423380	Tu vas lui demander de faire un lien
423380	425520	sur son site qui redirige vers le chien.
425820	427100	C'est ce qu'on appelle un backlinks.
427300	428120	C'est reconnu par Google
428120	429700	et ça apporte de la puissance.
429920	430940	Le SEO off-site,
430940	433200	s'il est bien fait sur des sites qui sont intéressants,
433320	434540	il va te rapporter du trafic
434540	436760	et donc il va booster la partie SEO globale
436760	439420	et il va ramener également ce que j'appelle du jus SEO.
439780	440560	C'est de la puissance
440560	442740	et ça va venir booster un petit peu toutes tes URL
442740	445460	en top résultats des recherches sur Google.
445620	446800	Une autre chose qu'on va mettre en place
446800	448260	qui est hyper hyper importante,
448420	449680	c'est la partie affiliation.
450220	452480	Pour générer des ventes de façon passive
452480	454760	sans non plus dépenser des milliers d'euros en publicité,
455240	456660	l'affiliation, c'est une très bonne alternative
456660	458460	et c'est ce que je mets en place sur toutes mes boutiques.
458460	459900	L'idée, c'est d'aller contacter des marchands
459900	461540	qui vendent des produits similaires au chien
461540	463360	en affiliation avec Amazon notamment,
463840	464520	mais pas forcément,
464640	465880	on peut le faire également avec des blogueurs
465880	466400	ou quoi que ce soit,
466540	467280	mais tout ça, de toute façon,
467340	468400	je reviendrai dans le module DJ.
468840	470080	Mais l'idée de base, en gros,
470140	471080	c'est d'aller contacter des personnes
471080	471900	qui font de l'affiliation
471900	473680	et de leur proposer de mettre en avant
473680	475240	tes produits sur leur site
475240	476100	ou leurs réseaux sociaux
476100	477780	pour les influenceurs, blogueurs, etc.
477980	479240	Donc tout ça, je ne vais pas le présenter
479240	480120	pendant des heures ici
480120	481100	puisqu'il y a un module DJ,
481240	482620	mais c'est un élément qui est hyper important
482620	484880	qui va générer donc des ventes en affiliation
484880	485960	mais également du trafic
485960	488420	qui va encore une fois booster le SEO de la boutique.
488520	489340	Et enfin, dernièrement,
489600	490340	super important,
490540	492540	on va venir recibler les personnes
492540	493380	qui ont visité notre site
493380	494300	mais qui n'ont pas fait d'achat.
494700	496140	Donc c'est ce qu'on appelle le retargeting.
496240	498280	On va le faire avec Facebook Ads et Instagram.
498600	499560	Alors là, tu es peut-être en train de te dire
499560	500860	en général, je crache un peu
500860	501900	sur Facebook Ads et Instagram.
502120	503680	Alors oui, je crache dessus
503680	505640	pour l'acquisition de clients, d'accord ?
505640	507080	Je ne vais jamais chercher des nouveaux clients
507080	508440	sur Facebook Ads et Instagram.
508620	510700	Par contre, j'utilise Facebook Ads et Instagram
510700	512880	pour aller recibler des personnes
512880	514620	qui sont allées sur mon site sans faire d'achat
514620	516480	via les campagnes Google Ads,
516660	518180	via le SEO, via le blog,
518280	519100	via l'affiliation, etc.
519360	519920	Ces personnes-là,
519960	521040	c'est des personnes qui sont chaudes,
521140	522860	qui ont exprimé une intention de recherche
522860	523540	via Google
523540	525060	et eux, s'ils n'ont pas fait d'achat,
525120	525880	je vais aller les recibler
525880	527500	donc avec des campagnes publicitaires
527500	528760	en leur proposant des codes promo,
528860	529240	par exemple,
529400	530420	pour terminer leur panier.
530560	531580	Enfin, plein de petites techniques
531580	532920	que je te présenterai dans ce module-ci.
533320	534280	Et donc ça, ça va générer
534280	535560	du trafic, encore une fois,
535840	536520	et des ventes.
536600	538320	Donc voilà, ça, c'est l'écosystème global.
538640	540080	À tout ça, on va ajouter par-dessus
540080	540860	des petites techniques,
541040	541680	des petits hacks
541680	542560	que je vais te présenter également
542560	543780	dans le module qui sera des géo-hacks
543780	544680	par rapport aux conversions.
544920	545520	Et à la fin,
545720	546580	une fois que tu as automatisé
546580	547160	toutes les tâches
547160	547960	qui ont besoin d'un humain
547960	548760	et que tu as automatisé
548760	550320	toutes les campagnes de pub
550320	550840	avec l'IA,
551080	552140	avec les campagnes intelligentes,
552460	553920	tu vas te retrouver avec une muse
553920	555420	qui est entièrement automatisée
555420	556400	et qui génère de l'argent
556400	558140	de façon quasi passive.
558300	559300	Donc les modules de la formation,
559460	560520	je vais les reprendre rapidement,
560720	561280	mais grosso modo,
561480	562100	c'est tous les points
562100	563180	que je viens de te présenter ici
563180	564640	sur le petit schéma de la muse.
564640	565580	Premièrement,
565740	566780	donc la recherche de niches.
567140	567460	Ensuite,
567580	569360	on va passer au SEO on-site.
569900	570260	Ensuite,
570440	571640	on va avoir un gros module
571640	573140	sur tout ce qui va être graphisme,
573320	574160	identité de la marque.
574260	575180	Ça, c'est hyper important.
575360	575520	D'ailleurs,
575560	575940	je m'arrête là
575940	576460	avant d'aller plus loin.
576560	577360	Les modules sont à suivre
577360	578200	étape par étape.
578320	579120	Donc c'est déjà trié.
579200	579660	Il ne faut pas forcément
579660	581160	que tu commences par le module 6,
581480	582280	SEO off-site,
582400	583000	ensuite le blog,
583120	583920	ensuite SEO on-site.
584040	584700	Je t'invite vraiment
584700	585740	à suivre la formation.
586060	587140	Déjà, regarde-la une fois
587140	588040	sans rien faire,
588200	589000	juste en prenant quelques notes,
589080	589260	etc.
589760	590160	Et ensuite,
590280	591340	regarde-la une deuxième fois
591340	592020	en appliquant
592020	593160	et tu peux faire du coup
593160	594120	tout de A à Z
594120	595260	en suivant module par module.
595540	596240	Tu auras à chaque fois
596240	597100	un récapitulatif
597100	598140	de ce que tu dois mettre en place
598140	598880	en dessous de la vidéo.
599000	599700	Je te mettrai un encadré
599700	600640	avec ce que tu dois faire
600640	601660	tiré de la vidéo
601660	602480	que tu viendras de regarder
602480	603580	et tu as juste finalement
603580	604300	à te laisser guider
604300	604840	par les modules.
604960	605700	J'ai vraiment réfléchi ça
605700	606560	de façon logique
606560	607480	pour que tu n'aies pas besoin
607480	609120	d'alterner entre un module
609120	609700	et un autre.
609820	611200	Tu peux tout suivre de A à Z.
611700	612260	Donc troisièmement,
612400	613160	les graphismes,
613240	613900	l'identité de la marque,
614080	614460	le branding.
614780	615100	Ensuite,
615240	616380	on va passer au blog
616380	617640	avec un gros module sur le blog.
617640	618720	Comment trouver des requêtes,
618820	620340	comment rédiger rapidement du contenu
620340	620720	parce que l'idée,
620840	621700	ce n'est pas de passer des journées
621700	622540	à rédiger du blog.
623180	623560	Mais tu verras,
623620	624020	j'ai des techniques
624020	625320	pour aller assez rapidement.
625860	626200	Ensuite,
626380	627040	l'email marketing
627040	627960	que j'ai écrit ici
627960	628380	e-mail.
628500	629680	Il faudra que je change
629680	630320	du coup dans la slide
630320	631040	en mettant e-mail
631040	631500	mais c'est bien
631500	632600	email marketing.
632780	633480	Super important.
633800	634160	Sixièmement,
634300	635360	on verra toute la partie
635360	636640	SEO off-site.
636940	637140	Ensuite,
637200	638620	on verra la partie Google Ads.
638860	639040	Ensuite,
639100	640160	on passera au branding
640160	641320	et aux réseaux sociaux
641320	642740	notamment avec le retargeting
642740	643540	qui viendra juste après.
644020	644600	Et à la fin,
644820	645720	on aura tous les bonus.
645720	646320	Donc les bonus,
646480	647060	c'est par exemple
647060	648060	des contenus de mise à jour
648060	649300	que je mettrai par la suite.
649660	650620	Ça va être des lives,
650720	651840	ça va être des petits hacks,
651920	652140	etc.
652300	652880	que je vais te rajouter
652880	653340	au fur et à mesure
653340	653880	de la formation.
654200	654860	Et ce n'est pas impossible
654860	655340	que dans le temps,
655400	656040	je fasse intervenir
656040	657080	de nouveaux intervenants,
657200	658240	des personnes avec qui je travaille,
658340	659660	des personnes avec qui je suis associé.
660120	660900	Si je juge
660900	661780	que ce qu'elles ont apporté,
661880	663160	c'est intéressant pour la formation,
663620	664500	même si c'est complémentaire
664500	665060	à la stratégie,
665140	666100	je les ferai intervenir
666100	667180	dans des modules DJ,
667340	668280	dans des modules bonus.
668380	669480	L'objectif final
669480	670480	à la fin de la formation,
670740	671180	c'est que tu aies
671180	671680	une boutique
675720	676680	à 100%,
676680	677340	que ça génère
677340	678660	du cash flow positif
678660	679540	durant toute l'année,
679720	680800	pas seulement pendant une période,
680880	681900	mais bien pendant toute l'année.
682020	682180	Pour ça,
682220	682780	on va trouver des niches
682780	683740	qui seront adaptées
683740	685060	et que tu puisses cumuler
685060	686080	plusieurs muses
686080	687560	pour scaler horizontalement
687560	688500	et pas verticalement.
688640	689260	Quelle est la différence
689260	690440	entre scaler horizontalement
690440	691500	et verticalement ?
691500	691980	Si tu veux,
692180	692660	les méthodes
692660	693480	qui étaient un petit peu
693480	694020	à l'ancienne
694020	694440	où on te disait
694440	695740	de prendre un produit gagnant
695740	697300	et de faire une publicité
697300	697760	sur Facebook
697760	698600	avec influenceurs,
698980	699700	l'idée pour générer
699700	700220	plus d'argent
700220	700860	avec ces boutiques-là,
700920	702420	c'est de scaler verticalement.
702680	702960	Donc en gros,
703020	703160	l'idée,
703240	703720	c'est de garder
705720	707020	essayer de faire monter les ventes
707020	708320	en mettant toujours plus de budget,
708560	709900	en trouvant plus d'influenceurs,
710060	710260	etc.
710760	712300	Mais on scale verticalement
712300	713140	sur la même boutique.
713560	714660	Le scaling horizontal,
714880	716100	ça consiste à avoir du coup
716100	716640	une muse
716640	718020	et on va aller en dupliquer
718020	718520	une autre,
718820	719380	encore une autre,
719580	720060	encore une autre
720060	720640	et on va finalement
720640	722320	cumuler plusieurs petits
722320	723140	entre guillemets business
723140	724000	et c'est ce que j'appelle
724000	725020	un scaling horizontal
725020	725760	et je trouve ça
725760	726520	beaucoup plus intelligent
726520	727680	que de scaler verticalement
727680	728500	et de faire la course
728500	729540	au volume en termes de vente.
729680	730560	Alors les points faibles
730560	731280	de la stratégie
731280	731740	parce que je me dois
731740	732420	d'être honnête
732420	733580	et de parler des points forts
733580	734440	comme des points faibles.
734640	735540	Les points faibles pour moi,
735720	736740	il y en a deux principaux.
737160	737560	Le premier,
737700	738520	c'est que c'est difficile
738520	740060	de sourcer toute la boutique
740060	740700	avec un agent
740700	741420	car on va mettre
741420	742240	beaucoup de produits.
742420	742660	Donc ça,
742760	743680	ça implique généralement
743680	744920	de travailler avec Aliexpress
744920	745880	majoritairement.
746380	747180	Donc il y a beaucoup de personnes
747180	747980	qui veulent des alternatives.
748220	748500	Alors moi,
748540	750020	je te le dis sur toutes mes muses
750020	750980	et donc depuis 2018,
751080	751640	j'ai quand même généré
751640	752460	plusieurs millions d'euros
752460	753520	de ventes et de chiffre d'affaires.
753720	754980	J'ai toujours bossé
754980	755880	avec Aliexpress.
756140	756740	Donc crois-moi,
756860	757340	Aliexpress,
757500	758620	c'est en aucun cas un frein.
758760	759560	C'est sûr que c'est pas
759560	760520	le meilleur fournisseur
760520	762040	si on compare avec des artisans français
762040	762680	ni quoi que ce soit.
762800	763280	Bien évidemment,
763420	763920	il faut être honnête.
764040	764260	Maintenant,
764360	765100	c'est efficace,
765180	766140	les produits ne sont pas chers,
766280	766820	tu as un catalogue
766820	767780	qui est ultra varié
767780	770580	et il livre en 7 à 15 jours ouvrés.
770740	771280	Donc c'est pas non plus
771280	772340	quelque chose qui est arradgé.
772780	772960	Moi,
773040	773580	sur mes boutiques,
773700	774380	c'est full Aliexpress.
774680	775300	Alors bien évidemment,
775460	775980	sur les produits
775980	777180	qu'on appelle best-sellers,
777280	778660	ceux qui sont vendus à 80%,
778660	780200	c'est possible de les sourcer
780200	781000	hors d'Aliexpress
781000	781620	par un agent.
781720	782040	Mais tout ça,
782100	782860	j'y reviendrai dans la fin
782860	783240	de l'information
783240	784280	parce que c'est pas ce qui est important
784280	784880	quand on débute.
785020	786000	Mais je t'en parle rapidement
786000	787120	pour t'introduire le sujet.
787260	788800	Tu peux travailler avec 80%
788800	789800	de ta boutique Aliexpress
789800	791360	et 20% des best-sellers
791360	791960	avec un agent.
792460	792740	Moi,
792800	793160	personnellement,
793220	794020	c'est pas ce que j'ai fait.
794140	794500	Si tu veux,
794600	794660	moi,
794720	795400	sur mes best-sellers,
795500	796160	j'ai mis en place
796160	797320	des partenariats entre guillemets
797320	798420	avec mes fournisseurs Aliexpress
798420	799840	qui me personnalisent mes packaging
799840	801300	mais ça reste sur Aliexpress.
801720	803040	Ils me génèrent des liens spéciaux
803040	804220	uniquement pour ma boutique
804220	805240	que j'ai pu lier du coup
805240	806120	avec une API
806120	807660	sur ma boutique Shopify.
807900	808080	Vraiment,
808160	808640	je te parle de ça
808640	809360	mais c'est du détail
809360	809980	qu'on verra vraiment
809980	810440	dans les bonus
810440	811060	pour aller plus loin
811060	811640	parce que c'est pas vraiment
811640	812580	ce qui est obligatoire au début
812580	813380	mais c'est des choses
813380	814320	qui sont possibles de faire.
814440	815080	Mais tout ça pour dire
815080	816820	qu'un des principaux points faibles
816820	817460	de la stratégie
817460	819040	c'est que tu vas pas pouvoir sourcer
819040	819580	comme quand tu fais
819580	820300	avec un monoproduit
820300	821620	un produit chez un agent,
821800	822600	faire un stock chez lui
822600	823640	et les envoyer en deux jours.
823980	825000	Avec la stratégie de Muse,
825100	826060	tu vas avoir 500,
826260	826960	600, 800,
827080	828120	peut-être voire 1000 produits
828120	828660	voire plus
828660	830240	selon les thématiques
830240	830820	et tu te doutes bien
830820	832020	que quand tu as autant de produits,
832140	832820	tu peux pas les sourcer
832820	833420	un par un
833420	834420	chez un agent spécifique.
834540	835320	Tu vas devoir travailler
835320	836540	avec Aliexpress
836540	837180	en flux tendu.
837180	838300	Et le deuxième point faible
838300	839100	en tout cas pour moi
839100	840360	c'est que le potentiel de scaling
840360	841220	est plus faible
841220	842380	qu'avec du monoproduit
842380	843000	en one shop.
843120	843540	C'est à dire que moi
843540	844420	sur mes muses personnels
844420	845120	j'arrive à générer
845120	846220	en moyenne entre 500
846220	847440	à 2000 euros par jour
847440	848740	de CA par boutique
848740	849360	quand je mets en place
849360	850140	la stratégie de repédit
850140	850600	en entier.
850740	851420	Alors que les personnes
851420	851780	par exemple
851780	853220	qui vont faire du monoproduit
853220	854200	avec des influenceurs
854200	855120	ou avec du Facebook Ads
855120	855460	ou autre,
855760	856500	c'est possible parfois
856500	857900	de faire 10 000 euros par jour,
858000	858800	20 000 euros par jour
858800	859720	sur une grosse promotion.
859920	860660	Moi en mettant en place
860660	861160	du SEO,
861460	862000	du Google Ads,
862060	862580	de l'affiliation,
862760	863480	du retargeting etc.
867180	867760	de 1000 euros par jour
867760	868740	mais en moyenne à l'année
868740	870220	c'est entre 500 à 2000 euros par jour
870220	871320	et l'idée du coup
871320	872060	c'est d'aller scaler
872060	872980	horizontalement
872980	873920	ces ventes là
873920	875280	avec plusieurs boutiques.
875400	876220	Si tu arrives admettons
876220	877700	à créer 5 muses différentes
877700	878900	qui génèrent 1000 euros par jour
878900	879920	tu arrives à générer
879920	880960	5000 euros par jour
880960	881740	et par mois
881740	882220	ça va te donner
882220	883500	150 000 euros de chiffre d'affaires
883500	884800	ce qui est loin d'être dégueulasse.
884960	885460	Donc moi en tout cas
885460	886480	je trouve ça plus simple
886480	887400	avec ces stratégies là
887400	888860	de scaler horizontalement
888860	889560	que verticalement
889560	890040	mais maintenant
890040	890740	il faut bien le savoir
890740	891720	qu'avec ces boutiques là
891720	892400	tu vas pas faire
892400	893300	du jour au lendemain
893300	894440	20 000 euros de chiffre d'affaires
894440	895280	sur une boutique
895280	896000	tu vas faire entre
896000	898080	500 à 2000 euros par jour
898080	898920	ça dépend encore une fois
898920	899500	de ce que tu vends
899500	900520	si tu es sur du high ticket
900520	901680	des produits chers
901680	902220	donc tu vas être
902220	902940	un petit peu plus haut
902940	903760	si tu vends des produits
903760	904540	vraiment pas chers
904540	905840	à 15, 20, 30 euros
905840	906420	tu vas être plutôt
906420	907960	sur 500 à 1000 euros par jour
907960	908740	et après
908740	909400	pour aller chercher
909400	910520	vraiment du volume de vente
910520	911440	il va falloir créer
911440	912580	d'autres muses Shopify.
912780	913600	Les points forts maintenant
913600	914120	en revanche
914120	915000	c'est ce qui est le plus important
915000	915740	c'est que premièrement
915740	916700	tu vas avoir des résultats
916700	917940	à coup sûr rapidement
917940	918920	pourquoi je dis
918920	920060	des résultats à coup sûr rapidement
920060	920880	c'est parce qu'on va pas avoir
920880	922300	le testing Facebook à faire
922300	922760	encore une fois
922760	923900	je fais le parallèle avec les monoproduits
923900	924780	sur Facebook Ads etc
924780	925580	il fallait à chaque fois
925580	926860	faire un sourcing de produits
926860	927920	potentiellement gagnants
927920	928420	entre guillemets
928420	929280	et faire des testings
929280	930440	en dépensant des centaines d'euros
930440	932120	par produit en testing sur Facebook
932120	933340	nous c'est pas ça qu'on va faire
933340	934240	notre stratégie
934240	935840	elle est basée sur l'intention de recherche
935840	937140	donc on va vendre directement
937140	937660	à des gens
937660	938840	ce qu'ils ont exprimé
938840	939880	comme intention de rechercher
939880	940480	via Google
940480	941780	donc on est sûr de ne pas se tromper
941780	942660	deuxième point fort
942660	943580	c'est l'aspect long terme
943580	944300	encore une fois
944300	945760	on va pas vendre un produit gagnant
945760	946400	qui va être tendance
946400	947040	pendant un mois
947040	947940	on va vendre des produits
947940	948740	qui sont recherchés
948740	949840	toute l'année par les gens
952760	954900	ça va être des termes de recherche
954900	955760	qui vont être recherchés
955760	956820	cette année
956820	957520	l'année prochaine
957520	958040	dans 2 ans
958040	958420	dans 5 ans
958420	958840	dans 10 ans
958840	959820	c'est des recherches
959820	960680	qui sont tout le temps
960680	961520	tapées sur Google
961520	962720	donc si tu fais une boutique là-dessus
962720	963900	tu vas pas avoir des ventes
963900	964460	pendant un mois
964460	965220	et après ce sera fini
965220	966080	tu vas avoir une boutique
966080	967260	qui sera vraiment long terme
967260	968280	et enfin dernier point
968280	969280	l'un des plus importants
969280	970120	c'est le fait que tu vas être
970120	971860	intouchable par la concurrence
971860	972500	pourquoi ?
972500	973400	tout simplement parce que
973400	974260	contrairement aux boutiques
974260	974760	encore une fois
974760	975780	qui sont un petit peu fragiles
975780	976460	avec Facebook Ads
976460	977140	en monoproduit
977140	978060	tu te doutes bien
978060	978880	que pour un concurrent
978880	979900	c'est assez décourageant
979900	981620	de pouvoir faire un shop
981620	982540	sur lequel il y a déjà
